,Year,City,Type of structure,Type of unit,Rent Price
113536,2020,Brantford,Apartment structures of three units and over,Bachelor units,763.0
113537,2020,Brantford,Apartment structures of three units and over,One bedroom units,1050.0
113538,2020,Brantford,Apartment structures of three units and over,Two bedroom units,1102.0
113539,2020,Brantford,Apartment structures of three units and over,Three bedroom units,1178.0
113540,2020,Brantford,Apartment structures of six units and over,Bachelor units,763.0
113541,2020,Brantford,Apartment structures of six units and over,One bedroom units,1057.0
113542,2020,Brantford,Apartment structures of six units and over,Two bedroom units,1174.0
113543,2020,Brantford,Apartment structures of six units and over,Three bedroom units,1281.0
113546,2020,Brighton,Row and apartment structures of three units and over,Two bedroom units,936.0
113554,2020,Brighton,Apartment structures of three units and over,Two bedroom units,936.0
113561,2020,Brock,Row and apartment structures of three units and over,One bedroom units,919.0
113562,2020,Brock,Row and apartment structures of three units and over,Two bedroom units,1008.0
113569,2020,Brock,Apartment structures of three units and over,One bedroom units,919.0
113570,2020,Brock,Apartment structures of three units and over,Two bedroom units,1008.0
113573,2020,Brock,Apartment structures of six units and over,One bedroom units,919.0
113574,2020,Brock,Apartment structures of six units and over,Two bedroom units,1008.0
113576,2020,Brockville,Row and apartment structures of three units and over,Bachelor units,752.0
113577,2020,Brockville,Row and apartment structures of three units and over,One bedroom units,871.0
113578,2020,Brockville,Row and apartment structures of three units and over,Two bedroom units,979.0
113579,2020,Brockville,Row and apartment structures of three units and over,Three bedroom units,963.0
113584,2020,Brockville,Apartment structures of three units and over,Bachelor units,752.0
113585,2020,Brockville,Apartment structures of three units and over,One bedroom units,872.0
113586,2020,Brockville,Apartment structures of three units and over,Two bedroom units,972.0
113587,2020,Brockville,Apartment structures of three units and over,Three bedroom units,961.0
113588,2020,Brockville,Apartment structures of six units and over,Bachelor units,768.0
113589,2020,Brockville,Apartment structures of six units and over,One bedroom units,925.0
113590,2020,Brockville,Apartment structures of six units and over,Two bedroom units,997.0
113591,2020,Brockville,Apartment structures of six units and over,Three bedroom units,989.0
113593,2020,Centre Wellington,Row and apartment structures of three units and over,One bedroom units,920.0
113594,2020,Centre Wellington,Row and apartment structures of three units and over,Two bedroom units,1128.0
113601,2020,Centre Wellington,Apartment structures of three units and over,One bedroom units,920.0
113602,2020,Centre Wellington,Apartment structures of three units and over,Two bedroom units,1128.0
113605,2020,Centre Wellington,Apartment structures of six units and over,One bedroom units,965.0
113606,2020,Centre Wellington,Apartment structures of six units and over,Two bedroom units,1156.0
113608,2020,Chatham-Kent,Row and apartment structures of three units and over,Bachelor units,614.0
113609,2020,Chatham-Kent,Row and apartment structures of three units and over,One bedroom units,764.0
113610,2020,Chatham-Kent,Row and apartment structures of three units and over,Two bedroom units,881.0
113611,2020,Chatham-Kent,Row and apartment structures of three units and over,Three bedroom units,852.0
113613,2020,Chatham-Kent,Row structures of three units and over,One bedroom units,649.0
113614,2020,Chatham-Kent,Row structures of three units and over,Two bedroom units,812.0
113615,2020,Chatham-Kent,Row structures of three units and over,Three bedroom units,904.0
113616,2020,Chatham-Kent,Apartment structures of three units and over,Bachelor units,613.0
113617,2020,Chatham-Kent,Apartment structures of three units and over,One bedroom units,767.0
113618,2020,Chatham-Kent,Apartment structures of three units and over,Two bedroom units,886.0
113619,2020,Chatham-Kent,Apartment structures of three units and over,Three bedroom units,846.0
113620,2020,Chatham-Kent,Apartment structures of six units and over,Bachelor units,617.0
113621,2020,Chatham-Kent,Apartment structures of six units and over,One bedroom units,794.0
113622,2020,Chatham-Kent,Apartment structures of six units and over,Two bedroom units,922.0
113623,2020,Chatham-Kent,Apartment structures of six units and over,Three bedroom units,1309.0
113625,2020,Cobourg,Row and apartment structures of three units and over,One bedroom units,1003.0
113626,2020,Cobourg,Row and apartment structures of three units and over,Two bedroom units,1278.0
113627,2020,Cobourg,Row and apartment structures of three units and over,Three bedroom units,1422.0
113633,2020,Cobourg,Apartment structures of three units and over,One bedroom units,1003.0
113634,2020,Cobourg,Apartment structures of three units and over,Two bedroom units,1278.0
113635,2020,Cobourg,Apartment structures of three units and over,Three bedroom units,1422.0
113637,2020,Cobourg,Apartment structures of six units and over,One bedroom units,1013.0
113638,2020,Cobourg,Apartment structures of six units and over,Two bedroom units,1238.0
113639,2020,Cobourg,Apartment structures of six units and over,Three bedroom units,1422.0
113640,2020,Collingwood,Row and apartment structures of three units and over,Bachelor units,993.0
113641,2020,Collingwood,Row and apartment structures of three units and over,One bedroom units,1003.0
113642,2020,Collingwood,Row and apartment structures of three units and over,Two bedroom units,1192.0
113648,2020,Collingwood,Apartment structures of three units and over,Bachelor units,993.0
113649,2020,Collingwood,Apartment structures of three units and over,One bedroom units,1003.0
113650,2020,Collingwood,Apartment structures of three units and over,Two bedroom units,1192.0
113652,2020,Collingwood,Apartment structures of six units and over,Bachelor units,993.0
113653,2020,Collingwood,Apartment structures of six units and over,One bedroom units,1043.0
113654,2020,Collingwood,Apartment structures of six units and over,Two bedroom units,1147.0
113656,2020,Cornwall,Row and apartment structures of three units and over,Bachelor units,684.0
113657,2020,Cornwall,Row and apartment structures of three units and over,One bedroom units,748.0
113658,2020,Cornwall,Row and apartment structures of three units and over,Two bedroom units,900.0
113659,2020,Cornwall,Row and apartment structures of three units and over,Three bedroom units,999.0
113662,2020,Cornwall,Row structures of three units and over,Two bedroom units,681.0
113663,2020,Cornwall,Row structures of three units and over,Three bedroom units,1118.0
113664,2020,Cornwall,Apartment structures of three units and over,Bachelor units,684.0
113665,2020,Cornwall,Apartment structures of three units and over,One bedroom units,748.0
113666,2020,Cornwall,Apartment structures of three units and over,Two bedroom units,903.0
113667,2020,Cornwall,Apartment structures of three units and over,Three bedroom units,965.0
113668,2020,Cornwall,Apartment structures of six units and over,Bachelor units,729.0
113669,2020,Cornwall,Apartment structures of six units and over,One bedroom units,824.0
113670,2020,Cornwall,Apartment structures of six units and over,Two bedroom units,954.0
113671,2020,Cornwall,Apartment structures of six units and over,Three bedroom units,1069.0
113672,2020,Elliot Lake,Row and apartment structures of three units and over,Bachelor units,637.0
113673,2020,Elliot Lake,Row and apartment structures of three units and over,One bedroom units,680.0
113674,2020,Elliot Lake,Row and apartment structures of three units and over,Two bedroom units,747.0
113675,2020,Elliot Lake,Row and apartment structures of three units and over,Three bedroom units,932.0
113680,2020,Elliot Lake,Apartment structures of three units and over,Bachelor units,637.0
113681,2020,Elliot Lake,Apartment structures of three units and over,One bedroom units,680.0
113682,2020,Elliot Lake,Apartment structures of three units and over,Two bedroom units,743.0
113683,2020,Elliot Lake,Apartment structures of three units and over,Three bedroom units,955.0
113684,2020,Elliot Lake,Apartment structures of six units and over,Bachelor units,637.0
113685,2020,Elliot Lake,Apartment structures of six units and over,One bedroom units,680.0
113686,2020,Elliot Lake,Apartment structures of six units and over,Two bedroom units,743.0
113687,2020,Elliot Lake,Apartment structures of six units and over,Three bedroom units,955.0
113706,2020,Essex,Row and apartment structures of three units and over,Two bedroom units,775.0
113710,2020,Essex,Row structures of three units and over,Two bedroom units,713.0
113714,2020,Essex,Apartment structures of three units and over,Two bedroom units,818.0
113721,2020,Gravenhurst,Row and apartment structures of three units and over,One bedroom units,861.0
113722,2020,Gravenhurst,Row and apartment structures of three units and over,Two bedroom units,1040.0
113723,2020,Gravenhurst,Row and apartment structures of three units and over,Three bedroom units,1115.0
113729,2020,Gravenhurst,Apartment structures of three units and over,One bedroom units,861.0
113730,2020,Gravenhurst,Apartment structures of three units and over,Two bedroom units,1045.0
113731,2020,Gravenhurst,Apartment structures of three units and over,Three bedroom units,1115.0
113733,2020,Gravenhurst,Apartment structures of six units and over,One bedroom units,861.0
113734,2020,Gravenhurst,Apartment structures of six units and over,Two bedroom units,1035.0
113736,2020,Greater Napanee,Row and apartment structures of three units and over,Bachelor units,674.0
113737,2020,Greater Napanee,Row and apartment structures of three units and over,One bedroom units,735.0
113738,2020,Greater Napanee,Row and apartment structures of three units and over,Two bedroom units,926.0
113739,2020,Greater Napanee,Row and apartment structures of three units and over,Three bedroom units,1211.0
113744,2020,Greater Napanee,Apartment structures of three units and over,Bachelor units,674.0
113745,2020,Greater Napanee,Apartment structures of three units and over,One bedroom units,735.0
113746,2020,Greater Napanee,Apartment structures of three units and over,Two bedroom units,926.0
113747,2020,Greater Napanee,Apartment structures of three units and over,Three bedroom units,1211.0
113749,2020,Greater Napanee,Apartment structures of six units and over,One bedroom units,765.0
113750,2020,Greater Napanee,Apartment structures of six units and over,Two bedroom units,936.0
113752,2020,Greater Sudbury,Row and apartment structures of three units and over,Bachelor units,699.0
113753,2020,Greater Sudbury,Row and apartment structures of three units and over,One bedroom units,921.0
113754,2020,Greater Sudbury,Row and apartment structures of three units and over,Two bedroom units,1148.0
113755,2020,Greater Sudbury,Row and apartment structures of three units and over,Three bedroom units,1213.0
113758,2020,Greater Sudbury,Row structures of three units and over,Two bedroom units,1286.0
113759,2020,Greater Sudbury,Row structures of three units and over,Three bedroom units,1167.0
113760,2020,Greater Sudbury,Apartment structures of three units and over,Bachelor units,699.0
113761,2020,Greater Sudbury,Apartment structures of three units and over,One bedroom units,921.0
113762,2020,Greater Sudbury,Apartment structures of three units and over,Two bedroom units,1134.0
113763,2020,Greater Sudbury,Apartment structures of three units and over,Three bedroom units,1253.0
113764,2020,Greater Sudbury,Apartment structures of six units and over,Bachelor units,726.0
113765,2020,Greater Sudbury,Apartment structures of six units and over,One bedroom units,971.0
113766,2020,Greater Sudbury,Apartment structures of six units and over,Two bedroom units,1175.0
113767,2020,Greater Sudbury,Apartment structures of six units and over,Three bedroom units,1300.0
113768,2020,Guelph,Row and apartment structures of three units and over,Bachelor units,870.0
113769,2020,Guelph,Row and apartment structures of three units and over,One bedroom units,1211.0
113770,2020,Guelph,Row and apartment structures of three units and over,Two bedroom units,1367.0
113771,2020,Guelph,Row and apartment structures of three units and over,Three bedroom units,1603.0
113774,2020,Guelph,Row structures of three units and over,Two bedroom units,1638.0
113775,2020,Guelph,Row structures of three units and over,Three bedroom units,1728.0
113776,2020,Guelph,Apartment structures of three units and over,Bachelor units,871.0
113777,2020,Guelph,Apartment structures of three units and over,One bedroom units,1212.0
113778,2020,Guelph,Apartment structures of three units and over,Two bedroom units,1356.0
113779,2020,Guelph,Apartment structures of three units and over,Three bedroom units,1383.0
113780,2020,Guelph,Apartment structures of six units and over,Bachelor units,871.0
113781,2020,Guelph,Apartment structures of six units and over,One bedroom units,1217.0
113782,2020,Guelph,Apartment structures of six units and over,Two bedroom units,1361.0
113783,2020,Guelph,Apartment structures of six units and over,Three bedroom units,1359.0
113785,2020,Haldimand County,Row and apartment structures of three units and over,One bedroom units,748.0
113786,2020,Haldimand County,Row and apartment structures of three units and over,Two bedroom units,807.0
113793,2020,Haldimand County,Apartment structures of three units and over,One bedroom units,748.0
113794,2020,Haldimand County,Apartment structures of three units and over,Two bedroom units,775.0
113797,2020,Haldimand County,Apartment structures of six units and over,One bedroom units,777.0
113798,2020,Haldimand County,Apartment structures of six units and over,Two bedroom units,763.0
113800,2020,Hamilton,Row and apartment structures of three units and over,Bachelor units,899.0
113801,2020,Hamilton,Row and apartment structures of three units and over,One bedroom units,1096.0
113802,2020,Hamilton,Row and apartment structures of three units and over,Two bedroom units,1292.0
113803,2020,Hamilton,Row and apartment structures of three units and over,Three bedroom units,1457.0
113805,2020,Hamilton,Row structures of three units and over,One bedroom units,1205.0
113806,2020,Hamilton,Row structures of three units and over,Two bedroom units,1314.0
113807,2020,Hamilton,Row structures of three units and over,Three bedroom units,1371.0
113808,2020,Hamilton,Apartment structures of three units and over,Bachelor units,898.0
113809,2020,Hamilton,Apartment structures of three units and over,One bedroom units,1096.0
113810,2020,Hamilton,Apartment structures of three units and over,Two bedroom units,1291.0
113811,2020,Hamilton,Apartment structures of three units and over,Three bedroom units,1511.0
113812,2020,Hamilton,Apartment structures of six units and over,Bachelor units,910.0
113813,2020,Hamilton,Apartment structures of six units and over,One bedroom units,1103.0
113814,2020,Hamilton,Apartment structures of six units and over,Two bedroom units,1294.0
113815,2020,Hamilton,Apartment structures of six units and over,Three bedroom units,1515.0
113817,2020,Hawkesbury,Row and apartment structures of three units and over,One bedroom units,632.0
113818,2020,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,779.0
113819,2020,Hawkesbury,Row and apartment structures of three units and over,Three bedroom units,761.0
113825,2020,Hawkesbury,Apartment structures of three units and over,One bedroom units,632.0
113826,2020,Hawkesbury,Apartment structures of three units and over,Two bedroom units,780.0
113827,2020,Hawkesbury,Apartment structures of three units and over,Three bedroom units,772.0
113829,2020,Hawkesbury,Apartment structures of six units and over,One bedroom units,654.0
113830,2020,Hawkesbury,Apartment structures of six units and over,Two bedroom units,837.0
113833,2020,Huntsville,Row and apartment structures of three units and over,One bedroom units,998.0
113834,2020,Huntsville,Row and apartment structures of three units and over,Two bedroom units,1216.0
113841,2020,Huntsville,Apartment structures of three units and over,One bedroom units,998.0
113842,2020,Huntsville,Apartment structures of three units and over,Two bedroom units,1236.0
113845,2020,Huntsville,Apartment structures of six units and over,One bedroom units,1034.0
113846,2020,Huntsville,Apartment structures of six units and over,Two bedroom units,1238.0
113849,2020,Ingersoll,Row and apartment structures of three units and over,One bedroom units,775.0
113850,2020,Ingersoll,Row and apartment structures of three units and over,Two bedroom units,832.0
113864,2020,Kawartha Lakes,Row and apartment structures of three units and over,Bachelor units,629.0
113865,2020,Kawartha Lakes,Row and apartment structures of three units and over,One bedroom units,979.0
113866,2020,Kawartha Lakes,Row and apartment structures of three units and over,Two bedroom units,1252.0
113867,2020,Kawartha Lakes,Row and apartment structures of three units and over,Three bedroom units,1386.0
113872,2020,Kawartha Lakes,Apartment structures of three units and over,Bachelor units,629.0
113873,2020,Kawartha Lakes,Apartment structures of three units and over,One bedroom units,979.0
113874,2020,Kawartha Lakes,Apartment structures of three units and over,Two bedroom units,1244.0
113875,2020,Kawartha Lakes,Apartment structures of three units and over,Three bedroom units,1358.0
113876,2020,Kawartha Lakes,Apartment structures of six units and over,Bachelor units,622.0
113877,2020,Kawartha Lakes,Apartment structures of six units and over,One bedroom units,997.0
113878,2020,Kawartha Lakes,Apartment structures of six units and over,Two bedroom units,1272.0
113879,2020,Kawartha Lakes,Apartment structures of six units and over,Three bedroom units,1536.0
113881,2020,Kenora,Row and apartment structures of three units and over,One bedroom units,775.0
113882,2020,Kenora,Row and apartment structures of three units and over,Two bedroom units,956.0
113889,2020,Kenora,Apartment structures of three units and over,One bedroom units,775.0
113890,2020,Kenora,Apartment structures of three units and over,Two bedroom units,956.0
113893,2020,Kenora,Apartment structures of six units and over,One bedroom units,756.0
113894,2020,Kenora,Apartment structures of six units and over,Two bedroom units,866.0
113897,2020,Kincardine,Row and apartment structures of three units and over,One bedroom units,904.0
113898,2020,Kincardine,Row and apartment structures of three units and over,Two bedroom units,1042.0
113905,2020,Kincardine,Apartment structures of three units and over,One bedroom units,904.0
113906,2020,Kincardine,Apartment structures of three units and over,Two bedroom units,1042.0
113909,2020,Kincardine,Apartment structures of six units and over,One bedroom units,947.0
113910,2020,Kincardine,Apartment structures of six units and over,Two bedroom units,1058.0
113913,2020,Kings Subdivision,Row and apartment structures of three units and over,One bedroom units,624.0
113914,2020,Kings Subdivision,Row and apartment structures of three units and over,Two bedroom units,898.0
113921,2020,Kings Subdivision,Apartment structures of three units and over,One bedroom units,624.0
113922,2020,Kings Subdivision,Apartment structures of three units and over,Two bedroom units,875.0
113925,2020,Kings Subdivision,Apartment structures of six units and over,One bedroom units,624.0
113926,2020,Kings Subdivision,Apartment structures of six units and over,Two bedroom units,749.0
113928,2020,Kingston,Row and apartment structures of three units and over,Bachelor units,869.0
113929,2020,Kingston,Row and apartment structures of three units and over,One bedroom units,1145.0
113930,2020,Kingston,Row and apartment structures of three units and over,Two bedroom units,1333.0
113931,2020,Kingston,Row and apartment structures of three units and over,Three bedroom units,1772.0
113935,2020,Kingston,Row structures of three units and over,Three bedroom units,1457.0
113936,2020,Kingston,Apartment structures of three units and over,Bachelor units,871.0
113937,2020,Kingston,Apartment structures of three units and over,One bedroom units,1145.0
113938,2020,Kingston,Apartment structures of three units and over,Two bedroom units,1327.0
113939,2020,Kingston,Apartment structures of three units and over,Three bedroom units,1828.0
113940,2020,Kingston,Apartment structures of six units and over,Bachelor units,852.0
113941,2020,Kingston,Apartment structures of six units and over,One bedroom units,1154.0
113942,2020,Kingston,Apartment structures of six units and over,Two bedroom units,1342.0
113943,2020,Kingston,Apartment structures of six units and over,Three bedroom units,1966.0
113944,2020,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Bachelor units,861.0
113945,2020,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,One bedroom units,1073.0
113946,2020,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Two bedroom units,1287.0
113947,2020,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Three bedroom units,1398.0
113949,2020,Kitchener-Cambridge-Waterloo,Row structures of three units and over,One bedroom units,963.0
113950,2020,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Two bedroom units,1140.0
113951,2020,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Three bedroom units,1345.0
113952,2020,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Bachelor units,863.0
113953,2020,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,One bedroom units,1076.0
113954,2020,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Two bedroom units,1295.0
113955,2020,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Three bedroom units,1435.0
113956,2020,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Bachelor units,879.0
113957,2020,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,One bedroom units,1084.0
113958,2020,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Two bedroom units,1306.0
113959,2020,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Three bedroom units,1448.0
113962,2020,Lambton Shores,Row and apartment structures of three units and over,Two bedroom units,1001.0
113970,2020,Lambton Shores,Apartment structures of three units and over,Two bedroom units,1001.0
113974,2020,Lambton Shores,Apartment structures of six units and over,Two bedroom units,1001.0
113977,2020,Leamington,Row and apartment structures of three units and over,One bedroom units,921.0
113978,2020,Leamington,Row and apartment structures of three units and over,Two bedroom units,1160.0
113979,2020,Leamington,Row and apartment structures of three units and over,Three bedroom units,1216.0
113983,2020,Leamington,Row structures of three units and over,Three bedroom units,1220.0
113985,2020,Leamington,Apartment structures of three units and over,One bedroom units,923.0
113986,2020,Leamington,Apartment structures of three units and over,Two bedroom units,1164.0
113987,2020,Leamington,Apartment structures of three units and over,Three bedroom units,1212.0
113989,2020,Leamington,Apartment structures of six units and over,One bedroom units,928.0
113990,2020,Leamington,Apartment structures of six units and over,Two bedroom units,1180.0
113991,2020,Leamington,Apartment structures of six units and over,Three bedroom units,1389.0
113992,2020,London,Row and apartment structures of three units and over,Bachelor units,774.0
113993,2020,London,Row and apartment structures of three units and over,One bedroom units,1001.0
113994,2020,London,Row and apartment structures of three units and over,Two bedroom units,1216.0
113995,2020,London,Row and apartment structures of three units and over,Three bedroom units,1378.0
113998,2020,London,Row structures of three units and over,Two bedroom units,1411.0
113999,2020,London,Row structures of three units and over,Three bedroom units,1377.0
114000,2020,London,Apartment structures of three units and over,Bachelor units,774.0
114001,2020,London,Apartment structures of three units and over,One bedroom units,1001.0
114002,2020,London,Apartment structures of three units and over,Two bedroom units,1207.0
114003,2020,London,Apartment structures of three units and over,Three bedroom units,1379.0
114004,2020,London,Apartment structures of six units and over,Bachelor units,795.0
114005,2020,London,Apartment structures of six units and over,One bedroom units,1013.0
114006,2020,London,Apartment structures of six units and over,Two bedroom units,1226.0
114007,2020,London,Apartment structures of six units and over,Three bedroom units,1470.0
114009,2020,Meaford,Row and apartment structures of three units and over,One bedroom units,725.0
114010,2020,Meaford,Row and apartment structures of three units and over,Two bedroom units,945.0
114017,2020,Meaford,Apartment structures of three units and over,One bedroom units,724.0
114018,2020,Meaford,Apartment structures of three units and over,Two bedroom units,957.0
114021,2020,Meaford,Apartment structures of six units and over,One bedroom units,734.0
114022,2020,Meaford,Apartment structures of six units and over,Two bedroom units,978.0
114024,2020,Midland,Row and apartment structures of three units and over,Bachelor units,604.0
114025,2020,Midland,Row and apartment structures of three units and over,One bedroom units,929.0
114026,2020,Midland,Row and apartment structures of three units and over,Two bedroom units,1076.0
114027,2020,Midland,Row and apartment structures of three units and over,Three bedroom units,1136.0
114032,2020,Midland,Apartment structures of three units and over,Bachelor units,604.0
114033,2020,Midland,Apartment structures of three units and over,One bedroom units,929.0
114034,2020,Midland,Apartment structures of three units and over,Two bedroom units,1074.0
114035,2020,Midland,Apartment structures of three units and over,Three bedroom units,1046.0
114036,2020,Midland,Apartment structures of six units and over,Bachelor units,604.0
114037,2020,Midland,Apartment structures of six units and over,One bedroom units,963.0
114038,2020,Midland,Apartment structures of six units and over,Two bedroom units,1101.0
114040,2020,Mississippi Mills,Row and apartment structures of three units and over,Bachelor units,0.0
114041,2020,Mississippi Mills,Row and apartment structures of three units and over,One bedroom units,0.0
114042,2020,Mississippi Mills,Row and apartment structures of three units and over,Two bedroom units,0.0
114043,2020,Mississippi Mills,Row and apartment structures of three units and over,Three bedroom units,0.0
114044,2020,Mississippi Mills,Row structures of three units and over,Bachelor units,0.0
114045,2020,Mississippi Mills,Row structures of three units and over,One bedroom units,0.0
114046,2020,Mississippi Mills,Row structures of three units and over,Two bedroom units,0.0
114047,2020,Mississippi Mills,Row structures of three units and over,Three bedroom units,0.0
114048,2020,Mississippi Mills,Apartment structures of three units and over,Bachelor units,0.0
114049,2020,Mississippi Mills,Apartment structures of three units and over,One bedroom units,0.0
114050,2020,Mississippi Mills,Apartment structures of three units and over,Two bedroom units,0.0
114051,2020,Mississippi Mills,Apartment structures of three units and over,Three bedroom units,0.0
114052,2020,Mississippi Mills,Apartment structures of six units and over,Bachelor units,0.0
114053,2020,Mississippi Mills,Apartment structures of six units and over,One bedroom units,0.0
114054,2020,Mississippi Mills,Apartment structures of six units and over,Two bedroom units,0.0
114055,2020,Mississippi Mills,Apartment structures of six units and over,Three bedroom units,0.0
114057,2020,Norfolk,Row and apartment structures of three units and over,One bedroom units,765.0
114058,2020,Norfolk,Row and apartment structures of three units and over,Two bedroom units,779.0
114065,2020,Norfolk,Apartment structures of three units and over,One bedroom units,765.0
114066,2020,Norfolk,Apartment structures of three units and over,Two bedroom units,779.0
114069,2020,Norfolk,Apartment structures of six units and over,One bedroom units,771.0
114070,2020,Norfolk,Apartment structures of six units and over,Two bedroom units,816.0
114072,2020,North Bay,Row and apartment structures of three units and over,Bachelor units,638.0
114073,2020,North Bay,Row and apartment structures of three units and over,One bedroom units,832.0
114074,2020,North Bay,Row and apartment structures of three units and over,Two bedroom units,1030.0
